,Optimal Weights
0,0.4762879694676111
1,0.14090389437094433
2,0.2611823084371324
3,-0.0692693624944133
4,1.7129783651086914
5,0.2927797725690127
6,-0.37391793393450545
7,0.23651662531206952
8,-0.3291260355855666
9,-0.20088513900416946
10,-0.09795053823736181
11,-0.2354141501939955
12,-0.07009510033298758
13,0.1655237784109824
14,-0.01602165670422626
15,-0.026253590177116055
16,-0.047633313071878576
17,-0.1365390397531385
18,-0.21909657534204235
19,0.27906130924914013
20,0.07378426750085307
21,30.28988550270219
